VCD info: dumpfile rv_pl_tb.vcd opened for output.
CYCLE 0: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=0 E_MemWrite=0 | M_Rd=0 M_RegWrite=0 M_MemWrite=0
CYCLE 2: D_instr=xxxxxxxx D_MemWrite=x | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=0 M_MemWrite=0
CYCLE 2: D_instr=00000013 D_MemWrite=0 | E_Rd=x E_RegWrite=x E_MemWrite=x | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 3: stallF=x
CYCLE 3: FlushE=x
CYCLE 4: FlushE=0
CYCLE 4: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=x M_RegWrite=x M_MemWrite=x
CYCLE 4: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 5: stallF=0
CYCLE 6: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 6: D_instr=00000113 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 8: D_instr=00108093 D_MemWrite=0 | E_Rd=2 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 8: D_instr=00300193 D_MemWrite=0 | E_Rd=1 E_RegWrite=1 E_MemWrite=0 | M_Rd=2 M_RegWrite=1 M_MemWrite=0
CYCLE 10: D_instr=00308663 D_MemWrite=0 | E_Rd=3 E_RegWrite=1 E_MemWrite=0 | M_Rd=1 M_RegWrite=1 M_MemWrite=0
CYCLE 10: D_instr=00110113 D_MemWrite=0 | E_Rd=12 E_RegWrite=0 E_MemWrite=0 | M_Rd=3 M_RegWrite=1 M_MemWrite=0
CYCLE 11: ForwardAE=01 ForwardBE=10
CYCLE 12: D_instr=fe0008e3 D_MemWrite=0 | E_Rd=2 E_RegWrite=1 E_MemWrite=0 | M_Rd=12 M_RegWrite=0 M_MemWrite=0
CYCLE 12: D_instr=00102023 D_MemWrite=1 | E_Rd=17 E_RegWrite=0 E_MemWrite=0 | M_Rd=2 M_RegWrite=1 M_MemWrite=0
CYCLE 13: stallF=1
CYCLE 13: E_PCSrc=1 E_pcTarget=00000018 E_pc=00000028
CYCLE 14: stallF=0
CYCLE 14: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=0 E_MemWrite=1 | M_Rd=17 M_RegWrite=0 M_MemWrite=0
CYCLE 14: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=0 M_MemWrite=1
CYCLE 15: MEMWRITE addr=00000000 data=00000001
CYCLE 16: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 16: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 18: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 18: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 20: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 20: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 22: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 22: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
CYCLE 24: D_instr=00000013 D_MemWrite=0 | E_Rd=0 E_RegWrite=1 E_MemWrite=0 | M_Rd=0 M_RegWrite=1 M_MemWrite=0
